content_hash_id,action_score,reason_code,action_label
content_690d9a9ec8620926,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_272a5e055865928c,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_348f753e0d7bbd2e,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_c630736d9d8a7302,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_c53249d98e383f52,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_47658be052c73b60,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_09e92bcd2c5354f8,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_a4566cfd45cbf40c,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_8eba2d99238592aa,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_d8a7baed69149f40,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_15688051c7879e59,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_f9d3dcd14f7efb10,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_9e6321f286fe8e8b,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_f012d6908fc807da,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_117d03b7579f6308,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_fb6b95d2f26621b7,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_97287a50a2eeed69,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_f133b94dd9e4b72e,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_6214cd160e7a2285,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_264006cabea1a61b,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_19b381dd8f8717f9,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_dae73d56c7708906,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_ee674794b94d709f,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_cd301cd8b3916b3e,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_d73490e0ba84c614,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_322c5a449cbf8730,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_aab07f905fd49168,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_31fdc55caa334e10,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_b89b7b5476dd8886,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_d9a0ed440a4ea5f3,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_eaefa7f51a8fb785,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_a714311e4cf2bbda,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_da4d034739b0c72e,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_9dc0da7c05af5875,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_fc71faa4c857f3ce,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_711102ee0218d1c0,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_5bc0321283fc3aee,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_2cd8dca294caff25,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_f4b9f777ca95b3f5,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_61e96711170fa82c,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_09c2ff55d0eb6731,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_50a85adf4c6b3e77,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_ff21b39101c23916,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_4b7df417960d4ca5,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_21eb77581fe34786,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_034d9b3d219c6f9b,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_82f5a3d780676a24,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_5c0b42850dcd6ed2,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_4c27867cd1b9a060,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_264a7ebd83cbcc2c,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_89b43e494811abc5,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_f3b919107d193a67,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_14fd17395406cd3d,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_8b6757b4edfe4a95,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_532b73a27fba2f84,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_90805755f09814b0,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_e8dbe89c03e36d68,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_f0c55efedf3ed34f,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_2cd25898f7cf2f5c,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_b1e620cd3a531abc,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_602a214efb02f97e,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_bfd4875b1c785942,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_c6d99c7c6a2021ec,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_2c771e27a3424452,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_5a72c572b009ca1d,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_1c2b4b0b4c44f098,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_161e9c3dc93e2ecc,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_43eb717238ed3987,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_770dd6e09d3b8ac1,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_605c93bd9a16c5a2,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_8d09f9dffcde980d,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_276a3fbb91b7c07e,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_c97b4081628d4961,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_2c842749a52ea6f4,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_2321bade28e7ae90,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_262f67bee9ef5452,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_2915a57c1fd91871,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_89953f12a4603ebd,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_6c7166e41792bdd5,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_00bd6160806ce1b9,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_150a443bf8249d33,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_1e957aad4b67bc3c,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_f1436c24931eb048,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_633647ab7cbb069a,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_fa49d0cefb8bd4fc,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_0df7813f81a58ff8,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_fee0a4f72ff24970,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_31092787606d65ff,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_72e574fc6d247af2,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_95434cdf08b60da5,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_79c495b117128362,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_f847339be204c550,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_8486b4689814c0a9,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_8cffdfc205c5bb08,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_03b4ed93d6a3fc1e,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_10b03a7d25168693,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_bcfb5be42550561d,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_f796e35554af78cf,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_ff7632dca6444da4,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_68b958f1c5838004,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_2168d4f206c37e69,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_1523a39282ce7359,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_15ad23b1952c5c66,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_5ee3fc601e99074f,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_6320de81a7edfe6d,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
